Edge TPU Compiler version 16.0.384591198
Input: model_default.tflite
Output: edge_tpu_2/model_default_edgetpu.tflite

Operator                       Count      Status

RESHAPE                        1          More than one subgraph is not supported
RESHAPE                        9          Mapped to Edge TPU
CONCATENATION                  1          More than one subgraph is not supported
CONCATENATION                  1          Mapped to Edge TPU
LOGISTIC                       1          Operation is otherwise supported, but not mapped due to some unspecified limitation
CUSTOM                         1          Operation is working on an unsupported data type
ADD                            58         Mapped to Edge TPU
MAX_POOL_2D                    18         Mapped to Edge TPU
DEQUANTIZE                     2          Operation is working on an unsupported data type
QUANTIZE                       1          Mapped to Edge TPU
DEPTHWISE_CONV_2D              93         Mapped to Edge TPU
CONV_2D                        120        Mapped to Edge TPU
RESIZE_NEAREST_NEIGHBOR        16         Mapped to Edge TPU
